ID:9885 SKID:K1124+375.5  timeStamp:2025-03-28 08:08:24:557
ID:9885 SKID:K1124+376.5  timeStamp:2025-03-28 08:08:24:745
ID:9885 SKID:K1124+378  timeStamp:2025-03-28 08:08:24:932
ID:9885 SKID:K1124+379.5  timeStamp:2025-03-28 08:08:25:110
ID:9885 SKID:K1124+380.5  timeStamp:2025-03-28 08:08:25:285
ID:9885 SKID:K1124+382  timeStamp:2025-03-28 08:08:25:464
ID:9885 SKID:K1124+383.5  timeStamp:2025-03-28 08:08:25:643
ID:9885 SKID:K1124+384.5  timeStamp:2025-03-28 08:08:25:832
ID:9885 SKID:K1124+385.5  timeStamp:2025-03-28 08:08:26:12
ID:9885 SKID:K1124+387  timeStamp:2025-03-28 08:08:26:194
ID:9885 SKID:K1124+388.5  timeStamp:2025-03-28 08:08:26:372
ID:9885 SKID:K1124+389.5  timeStamp:2025-03-28 08:08:26:871
ID:9885 SKID:K1124+390.5  timeStamp:2025-03-28 08:08:27:122
ID:9885 SKID:K1124+392.5  timeStamp:2025-03-28 08:08:27:300
ID:9885 SKID:K1124+393.5  timeStamp:2025-03-28 08:08:27:474
ID:9885 SKID:K1124+395  timeStamp:2025-03-28 08:08:27:651
ID:9885 SKID:K1124+396.5  timeStamp:2025-03-28 08:08:27:829
ID:9885 SKID:K1124+398  timeStamp:2025-03-28 08:08:28:20
ID:9885 SKID:K1124+399  timeStamp:2025-03-28 08:08:28:194
ID:9885 SKID:K1124+400  timeStamp:2025-03-28 08:08:28:373
ID:9885 SKID:K1124+401.5  timeStamp:2025-03-28 08:08:28:552
ID:9885 SKID:K1124+402.5  timeStamp:2025-03-28 08:08:28:731
ID:9885 SKID:K1124+404  timeStamp:2025-03-28 08:08:28:914
ID:9885 SKID:K1124+404.5  timeStamp:2025-03-28 08:08:29:97
ID:9885 SKID:K1124+407  timeStamp:2025-03-28 08:08:29:276
ID:9885 SKID:K1124+408  timeStamp:2025-03-28 08:08:29:455
ID:9885 SKID:K1124+409  timeStamp:2025-03-28 08:08:29:635
ID:9885 SKID:K1124+410.5  timeStamp:2025-03-28 08:08:29:816
ID:9885 SKID:K1124+412  timeStamp:2025-03-28 08:08:29:998
ID:9885 SKID:K1124+413.5  timeStamp:2025-03-28 08:08:30:181
ID:9885 SKID:K1124+414  timeStamp:2025-03-28 08:08:30:363
ID:9885 SKID:K1124+416  timeStamp:2025-03-28 08:08:30:545
ID:9885 SKID:K1124+417  timeStamp:2025-03-28 08:08:30:730
ID:9885 SKID:K1124+418.5  timeStamp:2025-03-28 08:08:30:905
ID:9885 SKID:K1124+420  timeStamp:2025-03-28 08:08:31:77
ID:9885 SKID:K1124+421  timeStamp:2025-03-28 08:08:31:258
ID:9885 SKID:K1124+422.5  timeStamp:2025-03-28 08:08:31:431
ID:9885 SKID:K1124+424  timeStamp:2025-03-28 08:08:31:608
ID:9885 SKID:K1124+425  timeStamp:2025-03-28 08:08:31:787
ID:9885 SKID:K1124+426.5  timeStamp:2025-03-28 08:08:31:973
ID:9885 SKID:K1124+428  timeStamp:2025-03-28 08:08:32:164
ID:9885 SKID:K1124+429  timeStamp:2025-03-28 08:08:32:330
ID:9885 SKID:K1124+430.5  timeStamp:2025-03-28 08:08:32:494
ID:9885 SKID:K1124+431.5  timeStamp:2025-03-28 08:08:32:660
ID:9885 SKID:K1124+432.5  timeStamp:2025-03-28 08:08:32:827
ID:9885 SKID:K1124+434.5  timeStamp:2025-03-28 08:08:32:998
ID:9885 SKID:K1124+436  timeStamp:2025-03-28 08:08:33:167
ID:9885 SKID:K1124+437  timeStamp:2025-03-28 08:08:33:341
ID:9885 SKID:K1124+438.5  timeStamp:2025-03-28 08:08:33:505
ID:9885 SKID:K1124+440  timeStamp:2025-03-28 08:08:33:693
ID:9885 SKID:K1124+441  timeStamp:2025-03-28 08:08:33:875
ID:9885 SKID:K1124+442  timeStamp:2025-03-28 08:08:34:54
ID:9885 SKID:K1124+443.5  timeStamp:2025-03-28 08:08:34:251
ID:9885 SKID:K1124+445  timeStamp:2025-03-28 08:08:34:431
ID:9885 SKID:K1124+446  timeStamp:2025-03-28 08:08:34:942
ID:9885 SKID:K1124+447.5  timeStamp:2025-03-28 08:08:35:200
ID:9885 SKID:K1124+449  timeStamp:2025-03-28 08:08:35:376
ID:9885 SKID:K1124+450.5  timeStamp:2025-03-28 08:08:35:551
ID:9885 SKID:K1124+451.5  timeStamp:2025-03-28 08:08:35:725
ID:9885 SKID:K1124+453  timeStamp:2025-03-28 08:08:35:909
ID:9885 SKID:K1124+454  timeStamp:2025-03-28 08:08:36:102
ID:9885 SKID:K1124+455.5  timeStamp:2025-03-28 08:08:36:291
ID:9885 SKID:K1124+457  timeStamp:2025-03-28 08:08:36:473
ID:9885 SKID:K1124+458  timeStamp:2025-03-28 08:08:36:658
ID:9885 SKID:K1124+459.5  timeStamp:2025-03-28 08:08:36:843
ID:9885 SKID:K1124+460.5  timeStamp:2025-03-28 08:08:37:27
ID:9885 SKID:K1124+462  timeStamp:2025-03-28 08:08:37:206
ID:9885 SKID:K1124+463.5  timeStamp:2025-03-28 08:08:37:389
ID:9885 SKID:K1124+465  timeStamp:2025-03-28 08:08:37:578
ID:9885 SKID:K1124+466  timeStamp:2025-03-28 08:08:37:754
ID:9885 SKID:K1124+467.5  timeStamp:2025-03-28 08:08:37:940
ID:9885 SKID:K1124+468.5  timeStamp:2025-03-28 08:08:38:122
ID:9885 SKID:K1124+470  timeStamp:2025-03-28 08:08:38:299
ID:9885 SKID:K1124+471  timeStamp:2025-03-28 08:08:38:473
ID:9885 SKID:K1124+472.5  timeStamp:2025-03-28 08:08:38:649
ID:9885 SKID:K1124+474  timeStamp:2025-03-28 08:08:38:829
ID:9885 SKID:K1124+475  timeStamp:2025-03-28 08:08:39:12
ID:9885 SKID:K1124+476.5  timeStamp:2025-03-28 08:08:39:199
ID:9885 SKID:K1124+478  timeStamp:2025-03-28 08:08:39:380
ID:9885 SKID:K1124+479  timeStamp:2025-03-28 08:08:39:559
ID:9885 SKID:K1124+480.5  timeStamp:2025-03-28 08:08:39:743
ID:9885 SKID:K1124+482  timeStamp:2025-03-28 08:08:39:926
ID:9885 SKID:K1124+483.5  timeStamp:2025-03-28 08:08:40:115
ID:9885 SKID:K1124+484.5  timeStamp:2025-03-28 08:08:40:296
ID:9885 SKID:K1124+486  timeStamp:2025-03-28 08:08:40:475
ID:9885 SKID:K1124+487  timeStamp:2025-03-28 08:08:40:647
ID:9885 SKID:K1124+488.5  timeStamp:2025-03-28 08:08:40:822
ID:9885 SKID:K1124+490  timeStamp:2025-03-28 08:08:40:997
ID:9885 SKID:K1124+491  timeStamp:2025-03-28 08:08:41:177
ID:9885 SKID:K1124+492.5  timeStamp:2025-03-28 08:08:41:376
ID:9885 SKID:K1124+493.5  timeStamp:2025-03-28 08:08:41:552
ID:9885 SKID:K1124+495  timeStamp:2025-03-28 08:08:41:716
ID:9885 SKID:K1124+496.5  timeStamp:2025-03-28 08:08:41:876
ID:9885 SKID:K1124+497.5  timeStamp:2025-03-28 08:08:42:47
ID:9885 SKID:K1124+499  timeStamp:2025-03-28 08:08:42:221
ID:9885 SKID:K1124+500.5  timeStamp:2025-03-28 08:08:42:381
ID:9885 SKID:K1124+501.5  timeStamp:2025-03-28 08:08:42:542
ID:9885 SKID:K1124+503  timeStamp:2025-03-28 08:08:42:702
ID:9885 SKID:K1124+504.5  timeStamp:2025-03-28 08:08:43:161
ID:9885 SKID:K1124+505.5  timeStamp:2025-03-28 08:08:43:396
ID:9885 SKID:K1124+507  timeStamp:2025-03-28 08:08:43:565
ID:9885 SKID:K1124+508.5  timeStamp:2025-03-28 08:08:43:732
ID:9885 SKID:K1124+509.5  timeStamp:2025-03-28 08:08:43:902
ID:9885 SKID:K1124+511  timeStamp:2025-03-28 08:08:44:80
ID:9885 SKID:K1124+512.5  timeStamp:2025-03-28 08:08:44:251
ID:9885 SKID:K1124+513  timeStamp:2025-03-28 08:08:44:423
ID:9885 SKID:K1124+515  timeStamp:2025-03-28 08:08:44:596
ID:9885 SKID:K1124+516  timeStamp:2025-03-28 08:08:44:768
ID:9885 SKID:K1124+517  timeStamp:2025-03-28 08:08:44:943
ID:9885 SKID:K1124+519  timeStamp:2025-03-28 08:08:45:121
ID:9885 SKID:K1124+520.5  timeStamp:2025-03-28 08:08:45:299
ID:9885 SKID:K1124+521  timeStamp:2025-03-28 08:08:45:472
ID:9885 SKID:K1124+523  timeStamp:2025-03-28 08:08:45:649
ID:9885 SKID:K1124+524  timeStamp:2025-03-28 08:08:45:819
ID:9885 SKID:K1124+525  timeStamp:2025-03-28 08:08:45:989
ID:9885 SKID:K1124+527  timeStamp:2025-03-28 08:08:46:163
ID:9885 SKID:K1124+528.5  timeStamp:2025-03-28 08:08:46:338
ID:9885 SKID:K1124+529.5  timeStamp:2025-03-28 08:08:46:511
ID:9885 SKID:K1124+531  timeStamp:2025-03-28 08:08:46:688
ID:9885 SKID:K1124+532  timeStamp:2025-03-28 08:08:46:870
ID:9885 SKID:K1124+533.5  timeStamp:2025-03-28 08:08:47:40
ID:9885 SKID:K1124+534.5  timeStamp:2025-03-28 08:08:47:213
ID:9885 SKID:K1124+536  timeStamp:2025-03-28 08:08:47:395
ID:9885 SKID:K1124+537.5  timeStamp:2025-03-28 08:08:47:562
ID:9885 SKID:K1124+539  timeStamp:2025-03-28 08:08:47:734
ID:9885 SKID:K1124+540  timeStamp:2025-03-28 08:08:47:902
ID:9885 SKID:K1124+541.5  timeStamp:2025-03-28 08:08:48:87
ID:9885 SKID:K1124+542.5  timeStamp:2025-03-28 08:08:48:274
ID:9885 SKID:K1124+544  timeStamp:2025-03-28 08:08:48:464
ID:9885 SKID:K1124+545.5  timeStamp:2025-03-28 08:08:48:646
