ID:9930 SKID:DK0+286.5  timeStamp:2025-03-28 08:08:24:557
ID:9930 SKID:DK0+288  timeStamp:2025-03-28 08:08:24:745
ID:9930 SKID:DK0+289  timeStamp:2025-03-28 08:08:24:932
ID:9930 SKID:DK0+290  timeStamp:2025-03-28 08:08:25:110
ID:9930 SKID:DK0+291.5  timeStamp:2025-03-28 08:08:25:285
ID:9930 SKID:DK0+292.5  timeStamp:2025-03-28 08:08:25:464
ID:9930 SKID:DK0+293.5  timeStamp:2025-03-28 08:08:25:643
ID:9930 SKID:DK0+294.5  timeStamp:2025-03-28 08:08:25:832
ID:9930 SKID:DK0+296  timeStamp:2025-03-28 08:08:26:12
ID:9930 SKID:DK0+297  timeStamp:2025-03-28 08:08:26:194
ID:9930 SKID:DK0+298  timeStamp:2025-03-28 08:08:26:372
ID:9930 SKID:DK0+299  timeStamp:2025-03-28 08:08:26:871
ID:9930 SKID:DK0+300.5  timeStamp:2025-03-28 08:08:27:122
ID:9930 SKID:DK0+301.5  timeStamp:2025-03-28 08:08:27:300
ID:9930 SKID:DK0+302.5  timeStamp:2025-03-28 08:08:27:474
ID:9930 SKID:DK0+304  timeStamp:2025-03-28 08:08:27:651
ID:9930 SKID:DK0+305  timeStamp:2025-03-28 08:08:27:829
ID:9930 SKID:DK0+306.5  timeStamp:2025-03-28 08:08:28:20
ID:9930 SKID:DK0+307.5  timeStamp:2025-03-28 08:08:28:194
ID:9930 SKID:DK0+308.5  timeStamp:2025-03-28 08:08:28:373
ID:9930 SKID:DK0+309.5  timeStamp:2025-03-28 08:08:28:552
ID:9930 SKID:DK0+311  timeStamp:2025-03-28 08:08:28:731
ID:9930 SKID:DK0+312  timeStamp:2025-03-28 08:08:28:914
ID:9930 SKID:DK0+313  timeStamp:2025-03-28 08:08:29:97
ID:9930 SKID:DK0+314.5  timeStamp:2025-03-28 08:08:29:276
ID:9930 SKID:DK0+315.5  timeStamp:2025-03-28 08:08:29:455
ID:9930 SKID:DK0+316.5  timeStamp:2025-03-28 08:08:29:635
ID:9930 SKID:DK0+318  timeStamp:2025-03-28 08:08:29:816
ID:9930 SKID:DK0+319  timeStamp:2025-03-28 08:08:29:998
ID:9930 SKID:DK0+320  timeStamp:2025-03-28 08:08:30:181
ID:9930 SKID:DK0+321.5  timeStamp:2025-03-28 08:08:30:363
ID:9930 SKID:DK0+322.5  timeStamp:2025-03-28 08:08:30:545
ID:9930 SKID:DK0+323.5  timeStamp:2025-03-28 08:08:30:730
ID:9930 SKID:DK0+325  timeStamp:2025-03-28 08:08:30:905
ID:9930 SKID:DK0+326  timeStamp:2025-03-28 08:08:31:77
ID:9930 SKID:DK0+327  timeStamp:2025-03-28 08:08:31:258
ID:9930 SKID:DK0+328.5  timeStamp:2025-03-28 08:08:31:431
ID:9930 SKID:DK0+329.5  timeStamp:2025-03-28 08:08:31:608
ID:9930 SKID:DK0+330.5  timeStamp:2025-03-28 08:08:31:787
ID:9930 SKID:DK0+332  timeStamp:2025-03-28 08:08:31:973
ID:9930 SKID:DK0+333  timeStamp:2025-03-28 08:08:32:164
ID:9930 SKID:DK0+334  timeStamp:2025-03-28 08:08:32:330
ID:9930 SKID:DK0+335  timeStamp:2025-03-28 08:08:32:494
ID:9930 SKID:DK0+336.5  timeStamp:2025-03-28 08:08:32:660
ID:9930 SKID:DK0+337.5  timeStamp:2025-03-28 08:08:32:827
ID:9930 SKID:DK0+338.5  timeStamp:2025-03-28 08:08:32:998
ID:9930 SKID:DK0+340  timeStamp:2025-03-28 08:08:33:167
ID:9930 SKID:DK0+341  timeStamp:2025-03-28 08:08:33:341
ID:9930 SKID:DK0+342  timeStamp:2025-03-28 08:08:33:505
ID:9930 SKID:DK0+343.5  timeStamp:2025-03-28 08:08:33:693
ID:9930 SKID:DK0+344.5  timeStamp:2025-03-28 08:08:33:875
