ID:9936 SKID:BK0+728  timeStamp:2025-03-28 08:08:24:557
ID:9936 SKID:BK0+729.5  timeStamp:2025-03-28 08:08:24:745
ID:9936 SKID:BK0+730.5  timeStamp:2025-03-28 08:08:24:932
ID:9936 SKID:BK0+731.5  timeStamp:2025-03-28 08:08:25:110
ID:9936 SKID:BK0+733  timeStamp:2025-03-28 08:08:25:285
ID:9936 SKID:BK0+734.5  timeStamp:2025-03-28 08:08:25:464
ID:9936 SKID:BK0+736  timeStamp:2025-03-28 08:08:25:643
ID:9936 SKID:BK0+736.5  timeStamp:2025-03-28 08:08:25:832
ID:9936 SKID:BK0+738  timeStamp:2025-03-28 08:08:26:12
ID:9936 SKID:BK0+739.5  timeStamp:2025-03-28 08:08:26:194
ID:9936 SKID:BK0+741  timeStamp:2025-03-28 08:08:26:372
ID:9936 SKID:BK0+741.5  timeStamp:2025-03-28 08:08:26:871
ID:9936 SKID:BK0+743  timeStamp:2025-03-28 08:08:27:122
ID:9936 SKID:BK0+744.5  timeStamp:2025-03-28 08:08:27:300
ID:9936 SKID:BK0+745  timeStamp:2025-03-28 08:08:27:474
ID:9936 SKID:BK0+747  timeStamp:2025-03-28 08:08:27:651
ID:9936 SKID:BK0+748.5  timeStamp:2025-03-28 08:08:27:829
ID:9936 SKID:BK0+749.5  timeStamp:2025-03-28 08:08:28:20
ID:9936 SKID:BK0+750.5  timeStamp:2025-03-28 08:08:28:194
ID:9936 SKID:BK0+751.5  timeStamp:2025-03-28 08:08:28:373
ID:9936 SKID:BK0+753.5  timeStamp:2025-03-28 08:08:28:552
ID:9936 SKID:BK0+754.5  timeStamp:2025-03-28 08:08:28:731
ID:9936 SKID:BK0+755.5  timeStamp:2025-03-28 08:08:28:914
ID:9936 SKID:K1122+336  timeStamp:2025-03-28 08:08:29:97
ID:9936 SKID:BK0+758.5  timeStamp:2025-03-28 08:08:29:276
ID:9936 SKID:BK0+759.5  timeStamp:2025-03-28 08:08:29:455
ID:9936 SKID:BK0+761  timeStamp:2025-03-28 08:08:29:635
ID:9936 SKID:BK0+762.5  timeStamp:2025-03-28 08:08:29:816
ID:9936 SKID:BK0+763  timeStamp:2025-03-28 08:08:29:998
ID:9936 SKID:BK0+764.5  timeStamp:2025-03-28 08:08:30:181
ID:9936 SKID:BK0+766  timeStamp:2025-03-28 08:08:30:363
ID:9936 SKID:BK0+766.5  timeStamp:2025-03-28 08:08:30:545
ID:9936 SKID:BK0+768.5  timeStamp:2025-03-28 08:08:30:730
ID:9936 SKID:BK0+770  timeStamp:2025-03-28 08:08:30:905
ID:9936 SKID:BK0+770.5  timeStamp:2025-03-28 08:08:31:77
ID:9936 SKID:BK0+772  timeStamp:2025-03-28 08:08:31:258
ID:9936 SKID:BK0+773.5  timeStamp:2025-03-28 08:08:31:431
ID:9936 SKID:BK0+774.5  timeStamp:2025-03-28 08:08:31:608
ID:9936 SKID:BK0+776  timeStamp:2025-03-28 08:08:31:787
ID:9936 SKID:BK0+777  timeStamp:2025-03-28 08:08:31:973
ID:9936 SKID:BK0+778.5  timeStamp:2025-03-28 08:08:32:164
ID:9936 SKID:BK0+780  timeStamp:2025-03-28 08:08:32:330
ID:9936 SKID:BK0+781  timeStamp:2025-03-28 08:08:32:494
ID:9936 SKID:BK0+782.5  timeStamp:2025-03-28 08:08:32:660
ID:9936 SKID:BK0+783.5  timeStamp:2025-03-28 08:08:32:827
ID:9936 SKID:BK0+784.5  timeStamp:2025-03-28 08:08:32:998
ID:9936 SKID:BK0+786  timeStamp:2025-03-28 08:08:33:167
ID:9936 SKID:BK0+787  timeStamp:2025-03-28 08:08:33:341
ID:9936 SKID:BK0+788.5  timeStamp:2025-03-28 08:08:33:505
ID:9936 SKID:BK0+789.5  timeStamp:2025-03-28 08:08:33:693
ID:9936 SKID:BK0+791  timeStamp:2025-03-28 08:08:33:875
ID:9936 SKID:BK0+792  timeStamp:2025-03-28 08:08:34:54
ID:9936 SKID:BK0+793.5  timeStamp:2025-03-28 08:08:34:251
ID:9936 SKID:BK0+794.5  timeStamp:2025-03-28 08:08:34:431
ID:9936 SKID:BK0+795.5  timeStamp:2025-03-28 08:08:34:942
ID:9936 SKID:BK0+797.5  timeStamp:2025-03-28 08:08:35:200
ID:9936 SKID:BK0+798.5  timeStamp:2025-03-28 08:08:35:376
ID:9936 SKID:BK0+799.5  timeStamp:2025-03-28 08:08:35:551
ID:9936 SKID:BK0+801  timeStamp:2025-03-28 08:08:35:725
ID:9936 SKID:BK0+802.5  timeStamp:2025-03-28 08:08:35:909
ID:9936 SKID:BK0+803.5  timeStamp:2025-03-28 08:08:36:102
ID:9936 SKID:BK0+805  timeStamp:2025-03-28 08:08:36:291
ID:9936 SKID:BK0+806  timeStamp:2025-03-28 08:08:36:473
ID:9936 SKID:BK0+807  timeStamp:2025-03-28 08:08:36:658
ID:9936 SKID:BK0+808.5  timeStamp:2025-03-28 08:08:36:843
ID:9936 SKID:BK0+809.5  timeStamp:2025-03-28 08:08:37:27
