ID:9948 SKID:BK0+207.5  timeStamp:2025-03-28 08:08:24:557
ID:9948 SKID:BK0+209  timeStamp:2025-03-28 08:08:24:745
ID:9948 SKID:BK0+209.5  timeStamp:2025-03-28 08:08:24:932
ID:9948 SKID:BK0+211  timeStamp:2025-03-28 08:08:25:110
ID:9948 SKID:BK0+212.5  timeStamp:2025-03-28 08:08:25:285
ID:9948 SKID:BK0+213.5  timeStamp:2025-03-28 08:08:25:464
ID:9948 SKID:BK0+214.5  timeStamp:2025-03-28 08:08:25:643
ID:9948 SKID:BK0+216  timeStamp:2025-03-28 08:08:25:832
ID:9948 SKID:BK0+217  timeStamp:2025-03-28 08:08:26:12
ID:9948 SKID:BK0+218.5  timeStamp:2025-03-28 08:08:26:194
ID:9948 SKID:BK0+220  timeStamp:2025-03-28 08:08:26:372
ID:9948 SKID:BK0+221.5  timeStamp:2025-03-28 08:08:26:871
ID:9948 SKID:BK0+222  timeStamp:2025-03-28 08:08:27:122
ID:9948 SKID:BK0+223.5  timeStamp:2025-03-28 08:08:27:300
ID:9948 SKID:BK0+225  timeStamp:2025-03-28 08:08:27:474
ID:9948 SKID:BK0+226.5  timeStamp:2025-03-28 08:08:27:651
ID:9948 SKID:BK0+227  timeStamp:2025-03-28 08:08:27:829
ID:9948 SKID:BK0+228.5  timeStamp:2025-03-28 08:08:28:20
ID:9948 SKID:BK0+230  timeStamp:2025-03-28 08:08:28:194
ID:9948 SKID:BK0+231  timeStamp:2025-03-28 08:08:28:373
ID:9948 SKID:BK0+232  timeStamp:2025-03-28 08:08:28:552
ID:9948 SKID:BK0+233.5  timeStamp:2025-03-28 08:08:28:731
ID:9948 SKID:BK0+234.5  timeStamp:2025-03-28 08:08:28:914
ID:9948 SKID:BK0+236  timeStamp:2025-03-28 08:08:29:97
ID:9948 SKID:BK0+237.5  timeStamp:2025-03-28 08:08:29:276
ID:9948 SKID:BK0+238  timeStamp:2025-03-28 08:08:29:455
ID:9948 SKID:BK0+239.5  timeStamp:2025-03-28 08:08:29:635
ID:9948 SKID:BK0+241  timeStamp:2025-03-28 08:08:29:816
ID:9948 SKID:BK0+242.5  timeStamp:2025-03-28 08:08:29:998
ID:9948 SKID:BK0+243  timeStamp:2025-03-28 08:08:30:181
ID:9948 SKID:BK0+244.5  timeStamp:2025-03-28 08:08:30:363
ID:9948 SKID:BK0+246  timeStamp:2025-03-28 08:08:30:545
ID:9948 SKID:BK0+247  timeStamp:2025-03-28 08:08:30:730
ID:9948 SKID:BK0+248.5  timeStamp:2025-03-28 08:08:30:905
ID:9948 SKID:BK0+249.5  timeStamp:2025-03-28 08:08:31:77
ID:9948 SKID:BK0+250.5  timeStamp:2025-03-28 08:08:31:258
ID:9948 SKID:BK0+252  timeStamp:2025-03-28 08:08:31:431
ID:9948 SKID:BK0+253.5  timeStamp:2025-03-28 08:08:31:608
ID:9948 SKID:BK0+255  timeStamp:2025-03-28 08:08:31:787
ID:9948 SKID:BK0+255.5  timeStamp:2025-03-28 08:08:31:973
ID:9948 SKID:BK0+257  timeStamp:2025-03-28 08:08:32:164
ID:9948 SKID:BK0+258.5  timeStamp:2025-03-28 08:08:32:330
