ID:9961 SKID:AK0+210.5  timeStamp:2025-03-28 08:08:24:557
ID:9961 SKID:AK0+212  timeStamp:2025-03-28 08:08:24:745
ID:9961 SKID:AK0+214  timeStamp:2025-03-28 08:08:24:932
ID:9961 SKID:AK0+215.5  timeStamp:2025-03-28 08:08:25:110
ID:9961 SKID:AK0+217  timeStamp:2025-03-28 08:08:25:285
ID:9961 SKID:AK0+218.5  timeStamp:2025-03-28 08:08:25:464
ID:9961 SKID:AK0+220  timeStamp:2025-03-28 08:08:25:643
ID:9961 SKID:AK0+222  timeStamp:2025-03-28 08:08:25:832
ID:9961 SKID:AK0+223.5  timeStamp:2025-03-28 08:08:26:12
ID:9961 SKID:AK0+225  timeStamp:2025-03-28 08:08:26:194
ID:9961 SKID:AK0+227  timeStamp:2025-03-28 08:08:26:372
ID:9961 SKID:AK0+228.5  timeStamp:2025-03-28 08:08:26:871
ID:9961 SKID:AK0+230  timeStamp:2025-03-28 08:08:27:122
ID:9961 SKID:AK0+231.5  timeStamp:2025-03-28 08:08:27:300
ID:9961 SKID:AK0+233  timeStamp:2025-03-28 08:08:27:474
ID:9961 SKID:AK0+235  timeStamp:2025-03-28 08:08:27:651
ID:9961 SKID:AK0+236.5  timeStamp:2025-03-28 08:08:27:829
ID:9961 SKID:AK0+238.5  timeStamp:2025-03-28 08:08:28:20
ID:9961 SKID:AK0+240  timeStamp:2025-03-28 08:08:28:194
ID:9961 SKID:AK0+241.5  timeStamp:2025-03-28 08:08:28:373
ID:9961 SKID:AK0+243  timeStamp:2025-03-28 08:08:28:552
ID:9961 SKID:AK0+244.5  timeStamp:2025-03-28 08:08:28:731
ID:9961 SKID:AK0+246.5  timeStamp:2025-03-28 08:08:28:914
ID:9961 SKID:AK0+248  timeStamp:2025-03-28 08:08:29:97
ID:9961 SKID:AK0+250  timeStamp:2025-03-28 08:08:29:276
ID:9961 SKID:AK0+251.5  timeStamp:2025-03-28 08:08:29:455
ID:9961 SKID:AK0+253  timeStamp:2025-03-28 08:08:29:635
ID:9961 SKID:AK0+254.5  timeStamp:2025-03-28 08:08:29:816
ID:9961 SKID:AK0+256  timeStamp:2025-03-28 08:08:29:998
ID:9961 SKID:AK0+258  timeStamp:2025-03-28 08:08:30:181
ID:9961 SKID:AK0+259.5  timeStamp:2025-03-28 08:08:30:363
ID:9961 SKID:AK0+261  timeStamp:2025-03-28 08:08:30:545
ID:9961 SKID:AK0+262.5  timeStamp:2025-03-28 08:08:30:730
ID:9961 SKID:AK0+264.5  timeStamp:2025-03-28 08:08:30:905
ID:9961 SKID:AK0+266  timeStamp:2025-03-28 08:08:31:77
ID:9961 SKID:AK0+267.5  timeStamp:2025-03-28 08:08:31:258
ID:9961 SKID:AK0+269  timeStamp:2025-03-28 08:08:31:431
ID:9961 SKID:AK0+271  timeStamp:2025-03-28 08:08:31:608
