非：├─ 车辆轨迹点  carid:12032 | 里程:1122682 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04415130615234,30.92347526550293 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+682.5 | 航向角: 173.86281
非：├─ 车辆轨迹点  carid:12033 | 里程:1122761 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂AN9766 (颜色:0) | 坐标: 114.04425048828125,30.922767639160156 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+761.5 | 航向角: 173.90698
非：├─ 车辆轨迹点  carid:12034 | 里程:1122597 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂BS51N5 (颜色:5) | 坐标: 114.0440673828125,30.92424201965332 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+597 | 航向角: 354.9877
非：├─ 车辆轨迹点  carid:12035 | 里程:1122451 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂EA813K (颜色:0) | 坐标: 114.0439224243164,30.925554275512695 | 速度: 59.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+451 | 航向角: 357.483
非：├─ 车辆轨迹点  carid:12038 | 里程:1122150 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂A6662L (颜色:0) | 坐标: 114.04388427734375,30.928272247314453 | 速度: 47.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+150 | 航向角: 173.80385
非：├─ 车辆轨迹点  carid:12039 | 里程:1122430 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂E8AF67 (颜色:0) | 坐标: 114.04390716552734,30.925739288330078 | 速度: 57.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+430.5 | 航向角: 173.86636
非：├─ 车辆轨迹点  carid:12040 | 里程:1122048 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂A8YG19 (颜色:5) | 坐标: 114.04396057128906,30.92918586730957 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+48.5 | 航向角: 353.78128
非：├─ 车辆轨迹点  carid:12041 | 里程:1122242 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂B74867 (颜色:2) | 坐标: 114.04386138916016,30.927440643310547 | 速度: 41.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+242 | 航向角: 353.57544
非：├─ 车辆轨迹点  carid:12044 | 里程:1122946 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂B2AC11 (颜色:1) | 坐标: 114.04449462890625,30.921110153198242 | 速度: 49.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+946.5 | 航向角: 173.96791
非：├─ 车辆轨迹点  carid:12045 | 里程:1122977 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂A77445 (颜色:1) | 坐标: 114.0445327758789,30.92083740234375 | 速度: 51.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+977 | 航向角: 173.87935
非：├─ 车辆轨迹点  carid:12046 | 里程:1122313 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂E5C1627 (颜色:4) | 坐标: 114.04386138916016,30.926799774169922 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+313 | 航向角: 353.84317
非：├─ 车辆轨迹点  carid:12047 | 里程:1122368 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂EE90L0 (颜色:0) | 坐标: 114.04387664794922,30.926298141479492 | 速度: 85.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+368.5 | 航向角: 353.7944
非：├─ 车辆轨迹点  carid:12050 | 里程:1122711 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂BSX942 (颜色:0) | 坐标: 114.044189453125,30.923219680786133 | 速度: 52.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+711 | 航向角: 174.13515
非：├─ 车辆轨迹点  carid:12051 | 里程:1122625 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂E2YZ20 (颜色:0) | 坐标: 114.04409790039062,30.923992156982422 | 速度: 47.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+625 | 航向角: 174.7769
非：├─ 车辆轨迹点  carid:12052 | 里程:1122579 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂B854VC (颜色:5) | 坐标: 114.0440444946289,30.924400329589844 | 速度: 49.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+579.5 | 航向角: 353.8665
非：├─ 车辆轨迹点  carid:12053 | 里程:1122436 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂E8NQX6 (颜色:9) | 坐标: 114.04391479492188,30.925689697265625 | 速度: 58.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+436 | 航向角: 353.895
非：├─ 车辆轨迹点  carid:12056 | 里程:1122361 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂A1NHA0 (颜色:0) | 坐标: 114.04387664794922,30.926362991333008 | 速度: 46.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+361.5 | 航向角: 179.17229
非：├─ 车辆轨迹点  carid:12057 | 里程:1122452 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂E587U0 (颜色:1) | 坐标: 114.0439224243164,30.925546646118164 | 速度: 55.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+452 | 航向角: 177.49544
非：├─ 车辆轨迹点  carid:12058 | 里程:1122787 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂ETXHH2 (颜色:1) | 坐标: 114.0442886352539,30.92253875732422 | 速度: 56.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1122+787 | 航向角: 353.95276
非：├─ 车辆轨迹点  carid:12059 | 里程:1122935 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂BRR4T74 (颜色:4) | 坐标: 114.04447937011719,30.921213150024414 | 速度: 42.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1122+935 | 航向角: 353.879
非：├─ 车辆轨迹点  carid:12062 | 里程:1122125 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂BQ39606 (颜色:4) | 坐标: 114.04389190673828,30.928497314453125 | 速度: 51.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+125 | 航向角: 183.78906
非：├─ 车辆轨迹点  carid:12063 | 里程:1122085 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂BV7480J (颜色:4) | 坐标: 114.0439224243164,30.92885398864746 | 速度: 43.0 km/h | 车道: 2 | 方向: 1 | 桩号: K1122+85.5 | 航向角: 184.86748
非：├─ 车辆轨迹点  carid:12064 | 里程:1123111 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂BH7T3G (颜色:0) | 坐标: 114.04598999023438,30.910682678222656 | 速度: 54.0 km/h | 车道: 3 | 方向: 2 | 桩号: K1123+111.5 | 航向角: 353.97964
非：├─ 车辆轨迹点  carid:12065 | 里程:1123150 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂A0007K (颜色:0) | 坐标: 114.04603576660156,30.91033363342285 | 速度: 46.0 km/h | 车道: 4 | 方向: 2 | 桩号: K1123+150.5 | 航向角: 354.15524
非：├─ 车辆轨迹点  carid:11865 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂AVDM86 (颜色:2) | 坐标: 114.03581,30.848518 | 速度: 49.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.17876
非：├─ 车辆轨迹点  carid:11871 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂B0JOJ2 (颜色:0) | 坐标: 114.0347,30.855478 | 速度: 60.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 176.65784
非：├─ 车辆轨迹点  carid:11877 | 里程:0 | 时间：2025-03-21 22:11:25:570 | 车牌: 鄂ABZ116 (颜色:0) | 坐标: 114.03465,30.856112 | 速度: 58.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 177.83884
非：├─ 车辆轨迹点  carid:11883 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂B0826O (颜色:0) | 坐标: 114.034615,30.85682 | 速度: 53.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 178.78587
非：├─ 车辆轨迹点  carid:11888 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂ETGW34 (颜色:0) | 坐标: 114.0355,30.849909 | 速度: 65.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.64412
非：├─ 车辆轨迹点  carid:11889 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂AKB7A4 (颜色:0) | 坐标: 114.03459,30.857393 | 速度: 66.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 179.47467
非：├─ 车辆轨迹点  carid:11894 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂B6N027 (颜色:1) | 坐标: 114.035385,30.850477 | 速度: 72.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 171.40274
非：├─ 车辆轨迹点  carid:11895 | 里程:0 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂AKIT4L (颜色:6) | 坐标: 114.034584,30.857985 | 速度: 45.0 km/h | 车道: 0 | 方向: 0 | 桩号: K1126+524.5 | 航向角: 180.49028
非：├─ 车非：├─ 车辆轨迹点  carid:12032 | 里程:1122682 | 时间：2025-03-21 22:11:25:398 | 车牌: 鄂EAB7812 (颜色:4) | 坐标: 114.04415130615234,30.92347526550293 | 速度: 55.0 km/h | 车道: 1 | 方向: 1 | 桩号: K1122+682.5 | 航向角: 173.86281
